match,rival,date,season_order,player,jersey,position,shot_type,situation,body_part,xg,xgot,minute,added,goal_mouth,pitch_x,pitch_y,era
Neftchi - Samaxi (16.08),Samaxi,16.08,816,A. Salyanskiy,19,F,save,regular,head,0.1601,0.1275,89,0,low-centre,31.96,11.55,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,L. Ortiz,15,M,block,regular,right-foot,0.003699,,78,0,low-centre,20.4,18.9,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,F. Vargas,10,M,block,regular,left-foot,0.02022,,88,0,low-centre,47.6,18.9,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,L. Ortiz,15,M,save,regular,left-foot,0.1006,0.3084,89,0,high-right,40.8,8.4,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,J. Rezabala,23,M,miss,regular,left-foot,0.0197,,74,0,close-left,47.6,17.85,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,B. Sambou,9,F,miss,regular,right-foot,0.02358,,53,0,close-high-right,47.6,12.6,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,J. Rezabala,23,M,post,throw-in-set-piece,left-foot,0.05089,,64,0,left,40.8,16.8,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,J. Rezabala,23,M,block,regular,left-foot,0.02681,,71,0,low-centre,40.8,25.2,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,E. Makhmudov,8,M,block,regular,left-foot,0.3932,,43,0,low-centre,36.72,9.45,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,M. Seck,24,D,miss,regular,right-foot,0.247,,19,0,close-high-right,40.8,11.55,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,E. Makhmudov,8,M,miss,set-piece,right-foot,0.008162,,15,0,close-high-right,48.96,9.45,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,E. Makhmudov,8,M,goal,penalty,right-foot,0.76,0.81,45,2,low-left,34.0,10.5,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,C. Costin,27,D,miss,regular,right-foot,0.03051,,14,0,close-left,46.24,24.15,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,B. Sambou,9,F,miss,regular,head,0.07746,,4,0,close-left,36.72,8.4,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,B. Sambou,9,F,miss,regular,right-foot,0.06538,,7,0,close-left,28.56,24.15,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,E. Makhmudov,8,M,miss,regular,left-foot,0.003191,,9,0,close-left,18.36,12.6,before
Imisli - Neftchi (22.08),Imisli,22.08,822,E. Safarov,7,M,block,regular,left-foot,0.01342,,79,0,low-centre,22.44,18.9,before
Imisli - Neftchi (22.08),Imisli,22.08,822,B. Sambou,9,F,save,regular,head,0.1085,0.07546,56,0,high-centre,33.32,11.55,before
Imisli - Neftchi (22.08),Imisli,22.08,822,I. Faraj,11,M,save,regular,head,0.2555,0.3093,58,0,high-centre,34.68,5.25,before
Imisli - Neftchi (22.08),Imisli,22.08,822,M. Seck,24,D,block,regular,left-foot,0.006244,,14,0,low-centre,16.32,23.1,before
Imisli - Neftchi (22.08),Imisli,22.08,822,I. Faraj,11,M,block,set-piece,right-foot,0.00314,,15,0,low-centre,46.24,19.95,before
Imisli - Neftchi (22.08),Imisli,22.08,822,E. Makhmudov,8,M,save,free-kick,right-foot,0.1111,0.0257,18,0,low-centre,20.4,21.0,before
Imisli - Neftchi (22.08),Imisli,22.08,822,F. Vargas,10,M,save,regular,right-foot,0.01511,0.01067,39,0,high-centre,40.8,26.25,before
Imisli - Neftchi (22.08),Imisli,22.08,822,F. Vargas,10,M,save,regular,head,0.07175,0.04731,44,0,low-centre,42.16,10.5,before
Imisli - Neftchi (22.08),Imisli,22.08,822,E. Makhmudov,8,M,miss,regular,right-foot,0.07346,,47,0,close-high-right,20.4,13.65,before
Imisli - Neftchi (22.08),Imisli,22.08,822,Igor,4,D,miss,regular,left-foot,0.01417,,65,0,close-right,15.64,31.5,before
Imisli - Neftchi (22.08),Imisli,22.08,822,B. Sambou,9,F,save,regular,left-foot,0.2538,0.2791,72,0,low-centre,31.28,12.6,before
Imisli - Neftchi (22.08),Imisli,22.08,822,F. Vargas,10,M,block,regular,right-foot,0.0184,,61,0,low-centre,21.08,28.35,before
Imisli - Neftchi (22.08),Imisli,22.08,822,B. Sambou,9,F,miss,regular,head,0.05921,,62,0,close-right,34.0,12.6,before
Imisli - Neftchi (22.08),Imisli,22.08,822,B. Sambou,9,F,miss,regular,right-foot,0.521,,72,0,close-high-right,31.28,9.45,before
Imisli - Neftchi (22.08),Imisli,22.08,822,E. Safarov,7,M,save,regular,right-foot,0.0279,0.0102,88,0,low-centre,24.48,29.4,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,E. Makhmudov,8,M,save,free-kick,right-foot,0.07949,0.02186,84,0,high-centre,4.76,16.8,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,L. Ortiz,15,M,block,corner,left-foot,0.03856,,90,2,low-centre,34.0,17.85,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,E. Camalov,4,M,save,regular,right-foot,0.03341,0.2303,30,0,low-left,34.0,24.15,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,F. Vargas,10,M,miss,regular,right-foot,0.01943,,14,0,close-left,23.8,21.0,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,J. Rezabala,23,M,save,free-kick,left-foot,0.08352,0.01201,24,0,high-centre,57.8,13.65,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,I. Faraj,11,M,save,regular,head,0.0861,0.1798,45,1,low-centre,34.0,8.4,before
